canonical_name,primary_category,n_products_in_category
propylene glycol,Fragrance,50
propylene glycol,Bath & Body,33
propylparaben,Makeup,48
propylparaben,Skincare,27
propylparaben,Mini Size,7
propylparaben,Bath & Body,3
propylparaben,Hair,3
prunus amygdalus dulcis (sweet almond) oil,Hair,102
prunus amygdalus dulcis (sweet almond) oil,Skincare,54
prunus amygdalus dulcis (sweet almond) oil,Bath & Body,50
prunus amygdalus dulcis (sweet almond) oil,Makeup,22
prunus amygdalus dulcis (sweet almond) oil,Mini Size,8
prunus armeniaca (apricot) kernel oil,Skincare,43
prunus armeniaca (apricot) kernel oil,Hair,28
prunus armeniaca (apricot) kernel oil,Makeup,22
prunus armeniaca (apricot) kernel oil,Bath & Body,20
prunus armeniaca (apricot) kernel oil,Mini Size,4
ptfe,Makeup,48
ptfe,Men,2
ptfe,Mini Size,2
pullulan,Skincare,70
pullulan,Makeup,20
pullulan,Hair,11
pullulan,Mini Size,5
pullulan,Bath & Body,2
pvp,Makeup,97
pvp,Hair,51
pvp,Skincare,20
pvp,Mini Size,16
pvp,Bath & Body,2
pyrus malus (apple) fruit extract,Skincare,140
pyrus malus (apple) fruit extract,Hair,20
pyrus malus (apple) fruit extract,Makeup,19
pyrus malus (apple) fruit extract,Bath & Body,9
pyrus malus (apple) fruit extract,Mini Size,7
red 30 lake (ci 73360),Makeup,77
red 30 lake (ci 73360),Mini Size,4
red 30 lake (ci 73360),Skincare,2
retinol,Skincare,93
retinol,Mini Size,4
retinol,Makeup,2
retinol,Bath & Body,1
retinyl palmitate,Skincare,43
retinyl palmitate,Makeup,42
retinyl palmitate,Hair,18
retinyl palmitate,Men,10
retinyl palmitate,Bath & Body,5
ricinus communis (castor) seed oil,Makeup,142
ricinus communis (castor) seed oil,Hair,58
ricinus communis (castor) seed oil,Skincare,55
ricinus communis (castor) seed oil,Mini Size,10
ricinus communis (castor) seed oil,Bath & Body,6
rosa canina fruit oil,Skincare,67
rosa canina fruit oil,Hair,41
rosa canina fruit oil,Makeup,35
rosa canina fruit oil,Bath & Body,17
rosa canina fruit oil,Fragrance,14
rosmarinus officinalis extract,Skincare,206
rosmarinus officinalis extract,Hair,176
rosmarinus officinalis extract,Makeup,50
rosmarinus officinalis extract,Bath & Body,41
rosmarinus officinalis extract,Men,13
saccharide isomerate,Skincare,125
saccharide isomerate,Makeup,15
saccharide isomerate,Bath & Body,14
saccharide isomerate,Hair,11
saccharide isomerate,Mini Size,4
salicylic acid,Skincare,230
salicylic acid,Hair,107
salicylic acid,Makeup,16
salicylic acid,Bath & Body,10
salicylic acid,Men,8
salix alba (willow) bark extract,Skincare,69
salix alba (willow) bark extract,Bath & Body,6
salix alba (willow) bark extract,Makeup,1
salix alba (willow) bark extract,Mini Size,1
sclerocarya birrea seed oil,Skincare,45
sclerocarya birrea seed oil,Hair,36
sclerocarya birrea seed oil,Bath & Body,16
sclerocarya birrea seed oil,Makeup,7
sclerocarya birrea seed oil,Mini Size,4
sclerotium gum,Skincare,99
sclerotium gum,Hair,9
sclerotium gum,Bath & Body,8
sclerotium gum,Mini Size,2
sclerotium gum,Fragrance,1
serine,Hair,89
serine,Skincare,68
serine,Makeup,15
serine,Bath & Body,4
serine,Mini Size,4
shea butter,Skincare,376
shea butter,Hair,242
shea butter,Makeup,195
shea butter,Bath & Body,103
shea butter,Mini Size,21
silica,Makeup,1199
silica,Skincare,425
silica,Mini Size,96
silica,Hair,66
silica,Bath & Body,36
sodium benzoate,Skincare,701
sodium benzoate,Hair,570
sodium benzoate,Makeup,198
sodium benzoate,Bath & Body,74
sodium benzoate,Mini Size,53
sodium c14-16 olefin sulfonate,Hair,65
sodium c14-16 olefin sulfonate,Skincare,26
sodium c14-16 olefin sulfonate,Bath & Body,12
sodium c14-16 olefin sulfonate,Men,7
sodium chloride,Skincare,303
sodium chloride,Hair,245
sodium chloride,Makeup,178
sodium chloride,Bath & Body,61
sodium chloride,Mini Size,26
sodium citrate,Skincare,360
sodium citrate,Makeup,99
sodium citrate,Hair,62
sodium citrate,Bath & Body,25
sodium citrate,Mini Size,21
sodium cocoyl isethionate,Hair,118
sodium cocoyl isethionate,Skincare,56
sodium cocoyl isethionate,Bath & Body,13
sodium cocoyl isethionate,Mini Size,6
sodium cocoyl isethionate,Men,1
sodium dehydroacetate,Makeup,270
sodium dehydroacetate,Skincare,47
sodium dehydroacetate,Mini Size,34
sodium dehydroacetate,Bath & Body,11
sodium dehydroacetate,Hair,11
sodium gluconate,Skincare,69
sodium gluconate,Hair,25
sodium gluconate,Makeup,15
sodium gluconate,Bath & Body,11
sodium gluconate,Men,1
sodium hyaluronate,Skincare,1290
sodium hyaluronate,Makeup,436
sodium hyaluronate,Hair,165
sodium hyaluronate,Bath & Body,74
sodium hyaluronate,Mini Size,46
sodium hydroxide,Skincare,688
sodium hydroxide,Hair,293
sodium hydroxide,Makeup,118
sodium hydroxide,Bath & Body,86
sodium hydroxide,Mini Size,34
sodium isethionate,Hair,60
sodium isethionate,Skincare,19
sodium isethionate,Bath & Body,6
sodium isethionate,Mini Size,3
sodium isethionate,Men,1
sodium lactate,Skincare,131
sodium lactate,Hair,63
sodium lactate,Makeup,27
sodium lactate,Bath & Body,7
sodium lactate,Mini Size,7
sodium laureth sulfate,Hair,48
sodium laureth sulfate,Skincare,21
sodium laureth sulfate,Bath & Body,15
sodium laureth sulfate,Makeup,15
sodium laureth sulfate,Mini Size,3
sodium lauroyl methyl isethionate,Hair,76
sodium lauroyl methyl isethionate,Skincare,16
sodium lauroyl methyl isethionate,Bath & Body,8
sodium lauroyl methyl isethionate,Fragrance,3
sodium lauroyl methyl isethionate,Mini Size,3
sodium lauroyl sarcosinate,Hair,87
sodium lauroyl sarcosinate,Skincare,25
sodium lauroyl sarcosinate,Men,5
sodium lauroyl sarcosinate,Bath & Body,4
sodium lauroyl sarcosinate,Mini Size,4
sodium metabisulfite,Skincare,127
sodium metabisulfite,Hair,41
sodium metabisulfite,Makeup,18
sodium metabisulfite,Bath & Body,9
sodium metabisulfite,Mini Size,4
sodium methyl cocoyl taurate,Hair,74
sodium methyl cocoyl taurate,Skincare,46
sodium methyl cocoyl taurate,Bath & Body,13
sodium methyl cocoyl taurate,Men,3
sodium methyl cocoyl taurate,Mini Size,2
sodium pca,Skincare,229
sodium pca,Hair,110
sodium pca,Makeup,30
sodium pca,Bath & Body,24
sodium pca,Mini Size,19
sodium phosphate,Hair,67
sodium phosphate,Skincare,45
sodium phosphate,Makeup,25
sodium phosphate,Mini Size,6
sodium phosphate,Bath & Body,2
sodium phytate,Skincare,239
sodium phytate,Hair,47
sodium phytate,Bath & Body,38
sodium phytate,Makeup,22
sodium phytate,Mini Size,6
sodium polyacrylate,Skincare,80
sodium polyacrylate,Makeup,24
sodium polyacrylate,Bath & Body,9
sodium polyacrylate,Hair,7
sodium polyacrylate,Men,3
sodium stearoyl glutamate,Skincare,106
sodium stearoyl glutamate,Bath & Body,21
sodium stearoyl glutamate,Hair,4
sodium stearoyl glutamate,Mini Size,4
sodium stearoyl glutamate,Makeup,3
sorbic acid,Hair,102
sorbic acid,Skincare,79
sorbic acid,Makeup,73
sorbic acid,Mini Size,21
sorbic acid,Bath & Body,14
sorbitan isostearate,Skincare,188
sorbitan isostearate,Makeup,152
sorbitan isostearate,Bath & Body,29
sorbitan isostearate,Mini Size,10
sorbitan isostearate,Hair,8
sorbitan oleate,Skincare,78
sorbitan oleate,Hair,57
sorbitan oleate,Makeup,35
sorbitan oleate,Bath & Body,7
sorbitan oleate,Mini Size,4
sorbitan olivate,Skincare,136
sorbitan olivate,Bath & Body,26
sorbitan olivate,Makeup,23
sorbitan olivate,Hair,9
sorbitan olivate,Fragrance,2
sorbitan sesquioleate,Makeup,77
sorbitan sesquioleate,Skincare,19
sorbitan sesquioleate,Mini Size,15
sorbitan sesquioleate,Bath & Body,1
sorbitan sesquioleate,Fragrance,1
sorbitan stearate,Skincare,61
sorbitan stearate,Makeup,24
sorbitan stearate,Bath & Body,15
sorbitan stearate,Mini Size,3
sorbitan stearate,Hair,2
sorbitol,Skincare,140
sorbitol,Makeup,40
sorbitol,Hair,30
sorbitol,Bath & Body,12
sorbitol,Mini Size,7
squalane,Skincare,538
squalane,Makeup,208
squalane,Hair,85
squalane,Bath & Body,60
squalane,Mini Size,31
stearalkonium hectorite,Makeup,59
stearalkonium hectorite,Skincare,16
stearalkonium hectorite,Hair,5
stearalkonium hectorite,Bath & Body,2
stearalkonium hectorite,Mini Size,2
stearamidopropyl dimethylamine,Hair,96
stearamidopropyl dimethylamine,Skincare,5
stearamidopropyl dimethylamine,Mini Size,4
steareth-20,Skincare,55
steareth-20,Makeup,31
steareth-20,Hair,10
steareth-20,Bath & Body,4
steareth-20,Mini Size,3
stearic acid,Skincare,254
stearic acid,Makeup,235
stearic acid,Hair,44
stearic acid,Mini Size,42
stearic acid,Bath & Body,41
stearyl alcohol,Skincare,129
stearyl alcohol,Hair,93
stearyl alcohol,Bath & Body,29
stearyl alcohol,Makeup,8
stearyl alcohol,Mini Size,5
sucrose,Skincare,149
sucrose,Makeup,19
sucrose,Bath & Body,17
sucrose,Hair,14
sucrose,Men,7
synthetic beeswax,Makeup,148
synthetic beeswax,Mini Size,14
synthetic beeswax,Skincare,5
synthetic beeswax,Fragrance,2
synthetic beeswax,Hair,2
synthetic fluorphlogopite,Makeup,503
synthetic fluorphlogopite,Skincare,68
synthetic fluorphlogopite,Mini Size,35
synthetic fluorphlogopite,Hair,11
synthetic fluorphlogopite,Bath & Body,9
synthetic wax,Makeup,252
synthetic wax,Skincare,22
synthetic wax,Mini Size,13
synthetic wax,Bath & Body,5
synthetic wax,Fragrance,1
talc,Makeup,356
talc,Mini Size,32
talc,Skincare,22
talc,Hair,5
talc,Bath & Body,1
tetrahexyldecyl ascorbate,Skincare,134
tetrahexyldecyl ascorbate,Makeup,51
tetrahexyldecyl ascorbate,Bath & Body,9
tetrahexyldecyl ascorbate,Hair,6
tetrahexyldecyl ascorbate,Men,4
tetrasodium glutamate diacetate,Skincare,99
tetrasodium glutamate diacetate,Hair,71
tetrasodium glutamate diacetate,Bath & Body,8
tetrasodium glutamate diacetate,Fragrance,1
tetrasodium glutamate diacetate,Makeup,1
theobroma cacao (cocoa) seed butter,Hair,28
theobroma cacao (cocoa) seed butter,Skincare,28
theobroma cacao (cocoa) seed butter,Bath & Body,26
theobroma cacao (cocoa) seed butter,Makeup,25
theobroma cacao (cocoa) seed butter,Mini Size,3
threonine,Hair,61
threonine,Skincare,51
threonine,Makeup,11
threonine,Bath & Body,4
threonine,Mini Size,3
tin oxide (ci 77861),Makeup,492
tin oxide (ci 77861),Skincare,99
tin oxide (ci 77861),Mini Size,40
tin oxide (ci 77861),Bath & Body,17
tin oxide (ci 77861),Hair,15
titanium dioxide (ci 77891),Makeup,1391
titanium dioxide (ci 77891),Skincare,343
titanium dioxide (ci 77891),Mini Size,89
titanium dioxide (ci 77891),Hair,44
titanium dioxide (ci 77891),Bath & Body,31
tocopherol,Skincare,1009
tocopherol,Makeup,748
tocopherol,Hair,446
tocopherol,Bath & Body,163
tocopherol,Fragrance,89
tocopheryl acetate,Skincare,605
tocopheryl acetate,Makeup,556
tocopheryl acetate,Hair,177
tocopheryl acetate,Bath & Body,59
tocopheryl acetate,Mini Size,56
trehalose,Skincare,216
trehalose,Hair,44
trehalose,Makeup,44
trehalose,Mini Size,12
trehalose,Bath & Body,4
tribehenin,Makeup,97
tribehenin,Skincare,34
tribehenin,Hair,8
tribehenin,Mini Size,5
tribehenin,Bath & Body,2
trideceth-12,Hair,152
trideceth-12,Mini Size,7
trideceth-12,Men,2
trideceth-12,Skincare,2
trideceth-6,Hair,107
trideceth-6,Skincare,14
trideceth-6,Bath & Body,3
tridecyl trimellitate,Makeup,55
tridecyl trimellitate,Skincare,20
tridecyl trimellitate,Hair,2
tridecyl trimellitate,Mini Size,2
tridecyl trimellitate,Bath & Body,1
triethanolamine,Skincare,62
triethanolamine,Makeup,49
triethanolamine,Hair,16
triethanolamine,Bath & Body,15
triethanolamine,Mini Size,11
triethoxycaprylylsilane,Makeup,299
triethoxycaprylylsilane,Skincare,53
triethoxycaprylylsilane,Mini Size,27
triethoxycaprylylsilane,Hair,6
triethoxycaprylylsilane,Men,3
triethyl citrate,Skincare,66
triethyl citrate,Fragrance,27
triethyl citrate,Makeup,24
triethyl citrate,Hair,14
triethyl citrate,Bath & Body,11
triethylhexanoin,Makeup,79
triethylhexanoin,Skincare,45
triethylhexanoin,Mini Size,9
triethylhexanoin,Hair,1
trihydroxystearin,Makeup,72
trihydroxystearin,Skincare,20
trihydroxystearin,Bath & Body,5
trihydroxystearin,Mini Size,5
trimethylsiloxysilicate,Makeup,312
trimethylsiloxysilicate,Skincare,24
trimethylsiloxysilicate,Mini Size,17
trimethylsiloxysilicate,Hair,1
trisodium ethylenediamine disuccinate,Skincare,154
trisodium ethylenediamine disuccinate,Hair,78
trisodium ethylenediamine disuccinate,Makeup,32
trisodium ethylenediamine disuccinate,Bath & Body,16
trisodium ethylenediamine disuccinate,Mini Size,12
tromethamine,Skincare,146
tromethamine,Makeup,40
tromethamine,Bath & Body,17
tromethamine,Mini Size,6
tromethamine,Men,3
ultramarines (ci 77007),Makeup,333
ultramarines (ci 77007),Mini Size,37
ultramarines (ci 77007),Skincare,8
ultramarines (ci 77007),Bath & Body,1
ultramarines (ci 77007),Men,1
urea,Skincare,95
urea,Makeup,19
urea,Hair,17
urea,Bath & Body,7
urea,Mini Size,6
valine,Hair,58
valine,Skincare,38
valine,Makeup,8
valine,Bath & Body,4
valine,Mini Size,3
vanilla planifolia fruit extract,Skincare,36
vanilla planifolia fruit extract,Makeup,13
vanilla planifolia fruit extract,Bath & Body,8
vanilla planifolia fruit extract,Hair,3
vanilla planifolia fruit extract,Mini Size,1
vanillin,Makeup,33
vanillin,Skincare,18
vanillin,Fragrance,13
vanillin,Bath & Body,4
vanillin,Hair,2
vitis vinifera (grape) seed oil,Skincare,77
vitis vinifera (grape) seed oil,Hair,41
vitis vinifera (grape) seed oil,Bath & Body,37
vitis vinifera (grape) seed oil,Makeup,27
vitis vinifera (grape) seed oil,Mini Size,11
vp/eicosene copolymer,Makeup,109
vp/eicosene copolymer,Mini Size,15
vp/eicosene copolymer,Skincare,6
vp/eicosene copolymer,Fragrance,2
vp/hexadecene copolymer,Makeup,79
vp/hexadecene copolymer,Mini Size,6
vp/hexadecene copolymer,Skincare,3
vp/hexadecene copolymer,Hair,1
vp/va copolymer,Hair,78
vp/va copolymer,Makeup,44
vp/va copolymer,Mini Size,10
vp/va copolymer,Skincare,3
water,Skincare,2167
water,Hair,1216
water,Fragrance,1047
water,Makeup,986
water,Bath & Body,315
xanthan gum,Skincare,832
xanthan gum,Makeup,186
xanthan gum,Hair,97
xanthan gum,Bath & Body,93
xanthan gum,Mini Size,42
xylitol,Skincare,97
xylitol,Hair,58
xylitol,Makeup,10
xylitol,Bath & Body,7
xylitol,Mini Size,1
xylitylglucoside,Skincare,53
xylitylglucoside,Hair,28
xylitylglucoside,Bath & Body,5
xylitylglucoside,Makeup,4
xylitylglucoside,Mini Size,1
yeast extract/faex/extrait de levure,Skincare,48
yeast extract/faex/extrait de levure,Makeup,18
yeast extract/faex/extrait de levure,Hair,12
yeast extract/faex/extrait de levure,Mini Size,6
yeast extract/faex/extrait de levure,Men,2
zea mays (corn) starch,Makeup,77
zea mays (corn) starch,Skincare,27
zea mays (corn) starch,Hair,17
zea mays (corn) starch,Mini Size,13
zea mays (corn) starch,Bath & Body,10
zinc stearate,Makeup,276
zinc stearate,Mini Size,14
zinc stearate,Skincare,6
zinc stearate,Hair,1
zingiber officinale (ginger) root extract,Skincare,69
zingiber officinale (ginger) root extract,Hair,28
zingiber officinale (ginger) root extract,Makeup,11
zingiber officinale (ginger) root extract,Bath & Body,4
zingiber officinale (ginger) root extract,Mini Size,3
