product_id,product_name,brand_name,ingredients,ingredients_parsed,ingredient_count_check
P502442,My Dream Lipstick - Creamy Lip Color,Natasha Denona,['Ridecyl Trimellitate Trimethylolpropane Triisostearate Polybutene Octyldodecanol Microcrystalline Wax (Cera Microcristallina) Hydrogenated Polyisobutene Vp/Eicosene Copolymer Caprylic/Capric Triglyceride Polyethylene Mica Stearalkonium Bentonite Silica Hydrogenated Styrene/Butadiene Copolymer Phytosteryl Isostearate Propylene Carbonate Pentaerythrityl Tetra-Di-T-Butyl Hydroxyhydrocinnamate Ethyl Vanillin Dicalcium Phosphate Rubus Idaeus (Raspberry) Leaf Extract [Rubus Idaeus Leaf Extract] Calcium Aluminum Borosilicate Aluminum Calcium Sodium Silicate Calcium Titanium Borosilicate Alumina Calcium Sodium Borosilicate Synthetic Fluorphlogopite Tin Oxide Titanium Dioxide (Ci 77891) Iron Oxides (Ci 77491) Iron Oxides (Ci 77492) Blue 1 Lake (Ci 42090) Yellow 5 Lake (Ci 19140) Red 6 (Ci 15850) Red 7 Lake (Ci 15850).'],ridecyl trimellitate trimethylolpropane triisostearate polybutene octyldodecanol microcrystalline wax (cera microcristallina) hydrogenated polyisobutene vp/eicosene copolymer caprylic/capric triglyceride polyethylene mica stearalkonium bentonite silica hydrogenated styrene/butadiene copolymer phytosteryl isostearate propylene carbonate pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate ethyl vanillin dicalcium phosphate rubus idaeus (raspberry) leaf extract rubus idaeus leaf extract calcium aluminum borosilicate aluminum calcium sodium silicate calcium titanium borosilicate alumina calcium sodium borosilicate synthetic fluorphlogopite tin oxide titanium dioxide (ci 77891) iron oxides (ci 77491) iron oxides (ci 77492) blue 1 lake (ci 42090) yellow 5 lake (ci 19140) red 6 (ci 15850) red 7 lake (ci 15850),1
P475141,Macro Tech Eyeliner Crayon,Natasha Denona,['Iron Oxides Ci 77499 Black 2 Ci 77266 (Nano) Ferric Ammonium Ferrocyanide Ci 77510 (The Allergen Substances Are Not Present Corporate - Regulatory Affairs Office) Ascorbyl Palmitate Citric Acid Lecithin Tocopherol Disteardimonium Hectorite Propylene Carbonate Caprylyl Methicone Dicalcium Phosphate Disiloxane Mica Phenylpropyldimethylsiloxysilicate Polyhydroxystearic Acid Bis-Diglyceryl Polyacyladipate-2 Polyethylene Trimethylsiloxysilicate Synthetic Wax Dimethicone.'],iron oxides ci 77499 black 2 ci 77266 (nano) ferric ammonium ferrocyanide ci 77510 (the allergen substances are not present corporate - regulatory affairs office) ascorbyl palmitate citric acid lecithin tocopherol disteardimonium hectorite propylene carbonate caprylyl methicone dicalcium phosphate disiloxane mica phenylpropyldimethylsiloxysilicate polyhydroxystearic acid bis-diglyceryl polyacyladipate-2 polyethylene trimethylsiloxysilicate synthetic wax dimethicone,1
P502350,Travel Brush Set & Makeup Pouch,Natasha Denona,"['Brushes:', 'Aluminum Synthetic Hair.', 'Travel Makeup Pouch:', 'PU Leather.']",aluminum synthetic hair | pu leather,2
P451939,Monochrome Moment - Blush Brush #1,PATRICK TA,['100% Cruelty-free Synthetic Bristles.'],100% cruelty-free synthetic bristles,1
P481401,Hydrating Jasmine Mist - Royal Refresh,RANAVAT,['Jasmine Officinale (100%).'],jasmine officinale (100%),1
P454095,Perfect Canvas Clean Jelly Oil Cleanser,REN Clean Skincare,"['Sunflower Seed Extract, Meadowfoam Seed Oil']",sunflower seed extract | meadowfoam seed oil,2
P501801,The Essential Refillable Travel Container,RIES,['Recycled Plastic.'],recycled plastic,1
P481160,Number 3 Foundation Brush,ROSE INC,"['Vegan Bristles, 25% PCR Handle.']",vegan bristles | 25% pcr handle,2
P500325,No. 5 Bronzer Brush,ROSE INC,"['Vegan Bristles, 25% Post-Consumer Recycled Plastic and Aluminum Handle.']",vegan bristles | 25% post-consumer recycled plastic and aluminum handle,2
P500333,No. 6 Highlighter Brush,ROSE INC,"['Vegan Bristles, 25% Post-Consumer Recycled Plastic And Aluminum Handle.']",vegan bristles | 25% post-consumer recycled plastic and aluminum handle,2
