rank,canonical_name,total_mentions,variant_count,example_variants,risk_level,sub_weight,source,health_concern
1020,hydroxypropylammonium gluconate,26,1,hydroxypropylammonium gluconate,,,,
1021,calcium silicate,26,1,calcium silicate,,,,
1022,larix europaea wood extract,26,1,larix europaea wood extract,,,,
1023,magnesium oxide,26,1,magnesium oxide,,,,
1024,polyglyceryl-3 caprate,26,1,polyglyceryl-3 caprate,,,,
1025,peg-20 methyl glucose sesquistearate,26,1,peg-20 methyl glucose sesquistearate,,,,
1026,mangifera indica (mango) fruit extract,26,1,mangifera indica (mango) fruit extract,,,,
1027,chenopodium quinoa seed extract,26,1,chenopodium quinoa seed extract,,,,
1028,polyglyceryl-10 dioleate,26,1,polyglyceryl-10 dioleate,,,,
1029,peg-8 beeswax,26,1,peg-8 beeswax,,,,
1030,theobroma grandiflorum (cupuacu) seed butter,26,1,theobroma grandiflorum (cupuacu) seed butter,,,,
1031,caprylic acid,26,1,caprylic acid,,,,
1032,punica granatum fruit extract,26,1,punica granatum fruit extract,,,,
1033,hedera helix (ivy) extract,26,1,hedera helix (ivy) extract,,,,
1034,caprylyl caprylate/caprate,26,1,caprylyl caprylate/caprate,,,,
1035,sanguisorba officinalis root extract,26,1,sanguisorba officinalis root extract,,,,
1036,angelica keiskei leaf/stem extract,26,1,angelica keiskei leaf/stem extract,,,,
1037,equisetum arvense (horsetail) extract,25,1,equisetum arvense (horsetail) extract,,,,
1038,laureth-12,25,1,laureth-12,,,,
1039,rosa damascena extract,25,1,rosa damascena extract,,,,
1040,panthenyl ethyl ether,25,1,panthenyl ethyl ether,,,,
1041,peg-200 hydrogenated glyceryl palmate,25,1,peg-200 hydrogenated glyceryl palmate,,,,
1042,pentaerythrityl tetra-di-t-butyl,25,1,pentaerythrityl tetra-di-t-butyl,,,,
1043,ethylhexyl polyhydroxystearate,25,1,ethylhexyl polyhydroxystearate,,,,
1044,sodium polystyrene sulfonate,25,1,sodium polystyrene sulfonate,,,,
1045,centella asiatica leaf extract,25,1,centella asiatica leaf extract,,,,
1046,hydroxystearic acid,25,1,hydroxystearic acid,,,,
1047,moringa oleifera leaf extract,25,1,moringa oleifera leaf extract,,,,
1048,sucrose palmitate,25,1,sucrose palmitate,,,,
1049,red 30 (ci 73360),25,1,red 30 (ci 73360),,,,
1050,triisostearin,25,1,triisostearin,,,,
1051,hydrolyzed adansonia digitata seed extract,25,1,hydrolyzed adansonia digitata seed extract,,,,
1052,portulaca pilosa extract,25,1,portulaca pilosa extract,,,,
1053,aroma (flavor),25,1,aroma (flavor),,,,
1054,gellan gum,25,1,gellan gum,,,,
1055,peg-6,25,1,peg-6,,,,
1056,nylon-6,25,1,nylon-6,,,,
1057,oryzanol,25,1,oryzanol,,,,
1058,saccharomyces ferment,25,1,saccharomyces ferment,,,,
1059,calcium pantothenate,25,1,calcium pantothenate,,,,
1060,sodium polyacryloyldimethyl taurate,24,1,sodium polyacryloyldimethyl taurate,,,,
1061,eucalyptus globulus leaf extract,24,1,eucalyptus globulus leaf extract,,,,
1062,polydextrose,24,1,polydextrose,,,,
1063,polyglyceryl-6 caprylate,24,1,polyglyceryl-6 caprylate,,,,
1064,poloxamer 407,24,1,poloxamer 407,,,,
1065,cocamidopropyl dimethylamine,24,1,cocamidopropyl dimethylamine,,,,
1066,glyoxal,24,1,glyoxal,,,,
1067,copernicia cerifera (carnauba) wax/copernicia cerifera cera/cire de carnauba,24,1,copernicia cerifera (carnauba) wax/copernicia cerifera cera/cire de carnauba,,,,
1068,malachite extract,24,1,malachite extract,,,,
1069,hydroxyethylpiperazine ethane sulfonic acid,24,1,hydroxyethylpiperazine ethane sulfonic acid,,,,
1070,polypropylene,24,1,polypropylene,,,,
1071,tricaprylin,24,1,tricaprylin,,,,
1072,ppg-15 stearyl ether,24,1,ppg-15 stearyl ether,,,,
1073,salvia sclarea (clary) extract,24,1,salvia sclarea (clary) extract,,,,
1074,rose extract,24,1,rose extract,,,,
1075,peg-32,24,1,peg-32,,,,
1076,carthamus tinctorius (safflower) oleosomes,24,1,carthamus tinctorius (safflower) oleosomes,,,,
1077,fragaria vesca (strawberry) fruit extract,24,1,fragaria vesca (strawberry) fruit extract,,,,
1078,ophiopogon japonicus root extract,24,1,ophiopogon japonicus root extract,,,,
1079,aroma/flavor,24,1,aroma/flavor,,,,
1080,caryodendron orinocense seed oil,24,1,caryodendron orinocense seed oil,,,,
1081,rice oil glycereth-8 esters,24,1,rice oil glycereth-8 esters,,,,
1082,olea europaea fruit oil/olive fruit oil,24,1,olea europaea fruit oil / olive fruit oil,,,,
1083,tetramethyl acetyloctahydronaphthalenes,23,1,tetramethyl acetyloctahydronaphthalenes,,,,
1084,althaea officinalis (marshmallow) root extract,23,1,althaea officinalis (marshmallow) root extract,,,,
1085,benzyl acetate,23,1,benzyl acetate,,,,
1086,alteromonas ferment extract,23,1,alteromonas ferment extract,,,,
1087,stearalkonium chloride,23,1,stearalkonium chloride,,,,
1088,butyloctanol,23,1,butyloctanol,,,,
1089,hydrolyzed corn protein,23,1,hydrolyzed corn protein,,,,
1090,potassium cocoyl glycinate,23,1,potassium cocoyl glycinate,,,,
1091,hydrolyzed pea protein,23,1,hydrolyzed pea protein,,,,
1092,hydrolyzed glycosaminoglycans,23,1,hydrolyzed glycosaminoglycans,,,,
1093,benzotriazolyl dodecyl p-cresol,23,1,benzotriazolyl dodecyl p-cresol,,,,
1094,hydrogenated styrene/methylstyrene/indene copolymer,23,1,hydrogenated styrene/methylstyrene/indene copolymer,,,,
1095,hydroxyhydrocinnamate,23,1,hydroxyhydrocinnamate,,,,
1096,o-cymen-5-ol,23,1,o-cymen-5-ol,,,,
1097,hydrogenated vegetable glycerides,23,1,hydrogenated vegetable glycerides,,,,
1098,commiphora mukul resin extract,23,1,commiphora mukul resin extract,,,,
1099,lonicera caprifolium (honeysuckle) flower extract,23,1,lonicera caprifolium (honeysuckle) flower extract,,,,
1100,spinacia oleracea (spinach) leaf extract,23,1,spinacia oleracea (spinach) leaf extract,,,,
1101,sodium surfactin,23,1,sodium surfactin,,,,
1102,avena sativa (oat) kernel flour,23,1,avena sativa (oat) kernel flour,,,,
1103,polyglyceryl-3 laurate,23,1,polyglyceryl-3 laurate,,,,
1104,trifolium pratense (clover) extract,23,1,trifolium pratense (clover) extract,,,,
1105,hexyldecanol,23,1,hexyldecanol,,,,
1106,octyldodecyl myristate,23,1,octyldodecyl myristate,,,,
1107,rhododendron ferrugineum extract,23,1,rhododendron ferrugineum extract,,,,
1108,neopentyl glycol diethylhexanoate,23,1,neopentyl glycol diethylhexanoate,,,,
1109,capryloyl glycine,23,1,capryloyl glycine,,,,
1110,ethylcellulose,23,1,ethylcellulose,,,,
1111,ethylhexyl hydroxystearate,23,1,ethylhexyl hydroxystearate,,,,
1112,ocimum basilicum (basil) leaf extract,23,1,ocimum basilicum (basil) leaf extract,,,,
1113,peg-75 stearate,23,1,peg-75 stearate,,,,
1114,ceramide ns,23,1,ceramide ns,,,,
1115,citrus junos seed extract,23,1,citrus junos seed extract,,,,
1116,spiraea ulmaria (meadowsweet) extract,23,1,spiraea ulmaria (meadowsweet) extract*,,,,
1117,aroma,23,1,aroma**,,,,
1118,triethylene glycol,23,1,triethylene glycol,,,,
1119,ppg-3 dipivalate,23,1,ppg-3 dipivalate,,,,
1120,peg/ppg-17/4 dimethyl ether,23,1,peg/ppg-17/4 dimethyl ether,,,,
1121,alpha keratin,23,1,alpha keratin,,,,
1122,bambusa vulgaris (bamboo) extract,22,1,bambusa vulgaris (bamboo) extract,,,,
1123,parachlorella beijerinckii exopolysaccharides,22,1,parachlorella beijerinckii exopolysaccharides,,,,
1124,coffea arabica (coffee) seed oil,22,1,coffea arabica (coffee) seed oil,,,,
1125,pseudoalteromonas ferment extract,22,1,pseudoalteromonas ferment extract,,,,
1126,pyridoxine hcl,22,1,pyridoxine hcl,,,,
1127,thymus vulgaris (thyme) leaf extract,22,1,thymus vulgaris (thyme) leaf extract,,,,
1128,oleth-20,22,1,oleth-20,,,,
1129,silicone quaternium-16,22,1,silicone quaternium-16,,,,
1130,epilobium angustifolium flower/leaf/stem extract,22,1,epilobium angustifolium flower/leaf/stem extract,,,,
1131,amp-acrylates/allyl methacrylate copolymer,22,1,amp-acrylates/allyl methacrylate copolymer,,,,
1132,triisodecyl trimellitate,22,1,triisodecyl trimellitate,,,,
1133,myristoyl pentapeptide-17,22,1,myristoyl pentapeptide-17,,,,
1134,hydrogenated styrene/methyl styrene/indene copolymer,22,1,hydrogenated styrene/methyl styrene/indene copolymer,,,,
1135,oligopeptide-177,22,1,oligopeptide-177,,,,
1136,ethyl oleate,22,1,ethyl oleate,,,,
1137,magnesium aspartate,22,1,magnesium aspartate,,,,
1138,amber extract,22,1,amber extract,,,,
1139,spilanthes acmella flower extract,22,1,spilanthes acmella flower extract,,,,
1140,salvia sclarea (clary) oil,22,1,salvia sclarea (clary) oil,,,,
1141,ectoin,22,1,ectoin,,,,
1142,ppg-2 myristyl ether propionate,22,1,ppg-2 myristyl ether propionate,,,,
1143,red 21 (ci 45380),22,1,red 21 (ci 45380),,,,
1144,cannabis sativa (hemp) seed oil,22,1,cannabis sativa (hemp) seed oil,,,,
1145,brassicyl isoleucinate esylate,22,1,brassicyl isoleucinate esylate,,,,
1146,silybum marianum (lady thistle) extract,22,1,silybum marianum (lady thistle) extract,,,,
1147,oleyl alcohol,22,1,oleyl alcohol,,,,
1148,gelidiella acerosa extract,22,1,gelidiella acerosa extract,,,,
1149,geranyl acetate,22,1,geranyl acetate,,,,
1150,sodium carboxymethyl beta-glucan,22,1,sodium carboxymethyl beta-glucan,,,,
1151,escin,22,1,escin,,,,
1152,alcaligenes polysaccharides,22,1,alcaligenes polysaccharides,,,,
1153,polysilicone-29,22,1,polysilicone-29,,,,
1154,arctium lappa root extract,22,1,arctium lappa root extract,,,,
1155,bacillus ferment,22,1,bacillus ferment,,,,
1156,punica granatum sterols,22,1,punica granatum sterols,,,,
1157,glass,22,1,glass,,,,
1158,agastache mexicana flower/leaf/stem extract,22,1,agastache mexicana flower/leaf/stem extract,,,,
1159,phosphatidylcholine,22,1,phosphatidylcholine,,,,
1160,chlorhexidine dihydrochloride,22,1,chlorhexidine dihydrochloride,,,,
1161,glass beads,22,1,glass beads,,,,
1162,glycyrrhiza uralensis (licorice) root extract,22,1,glycyrrhiza uralensis (licorice) root extract,,,,
1163,cucurbita pepo (pumpkin) seed oil,21,1,cucurbita pepo (pumpkin) seed oil,,,,
1164,passiflora incarnata extract,21,1,passiflora incarnata extract,,,,
1165,azelaic acid,21,1,azelaic acid,,,,
1166,hydroxyphenyl propamidobenzoic acid,21,1,hydroxyphenyl propamidobenzoic acid,,,,
1167,polyglyceryl-3 stearate,21,1,polyglyceryl-3 stearate,,,,
1168,trideceth-6 phosphate,21,1,trideceth-6 phosphate,,,,
1169,sodium polyacrylate starch,21,1,sodium polyacrylate starch,,,,
1170,ammonium glycyrrhizate,21,1,ammonium glycyrrhizate,,,,
1171,lysolecithin,21,1,lysolecithin,,,,
1172,dibutyl lauroyl glutamide,21,1,dibutyl lauroyl glutamide,,,,
1173,portulaca oleracea extract,21,1,portulaca oleracea extract,,,,
1174,chondrus crispus (carrageenan),21,1,chondrus crispus (carrageenan),,,,
1175,copolymer,21,1,copolymer,,,,
1176,isoceteth-10,21,1,isoceteth-10,,,,
1177,alanyl glutamine,21,1,alanyl glutamine,,,,
1178,sphingolipids,21,1,sphingolipids,,,,
1179,candelilla cera (euphorbia cerifera (candelilla) wax),21,1,candelilla cera (euphorbia cerifera (candelilla) wax),,,,
1180,sodium tocopheryl phosphate,21,1,sodium tocopheryl phosphate,,,,
1181,sodium carbonate,21,1,sodium carbonate,,,,
1182,orbignya oleifera (babassu) seed oil,21,1,orbignya oleifera (babassu) seed oil,,,,
1183,olea europaea (olive) oil unsaponifiables,21,1,olea europaea (olive) oil unsaponifiables,,,,
1184,cichorium intybus (chicory) root extract,21,1,cichorium intybus (chicory) root extract,,,,
1185,bixa orellana seed extract,21,1,bixa orellana seed extract,,,,
1186,micrococcus lysate,21,1,micrococcus lysate,,,,
1187,acetamide mea,21,1,acetamide mea,,,,
1188,sodium anisate,21,1,sodium anisate,,,,
1189,brassica campestris/aleurites fordi oil copolymer,21,1,brassica campestris/aleurites fordi oil copolymer,,,,
1190,carapa guaianensis (andiroba) seed oil,21,1,carapa guaianensis (andiroba) seed oil,,,,
1191,saccharomyces/xylinum/black tea ferment,21,1,saccharomyces/xylinum/black tea ferment,,,,
1192,red 36 lake),21,1,red 36 lake),,,,
1193,ci 45380 (red 21,21,1,ci 45380 (red 21,,,,
1194,red 21 lake,21,1,red 21 lake,,,,
1195,red 22 lake),21,1,red 22 lake),,,,
1196,zinc sulfate,21,1,zinc sulfate,,,,
1197,jasminum officinale (jasmine) flower/leaf extract,21,1,jasminum officinale (jasmine) flower/leaf extract,,,,
1198,prunus insititia seed oil,21,1,prunus insititia seed oil,,,,
1199,quercus petraea fruit extract,21,1,quercus petraea fruit extract,,,,
1200,citrus aurantium bergamia (bergamot) peel oil,20,1,citrus aurantium bergamia (bergamot) peel oil,,,,
1201,dilauryl thiodipropionate,20,1,dilauryl thiodipropionate,,,,
1202,extract,20,1,extract,,,,
1203,vaccinium myrtillus seed oil,20,1,vaccinium myrtillus seed oil,,,,
1204,elaeis guineensis (palm) oil,20,1,elaeis guineensis (palm) oil,,,,
1205,hydrolyzed lupine protein,20,1,hydrolyzed lupine protein,,,,
