rank,canonical_name,total_mentions,variant_count,example_variants,risk_level,sub_weight,source,health_concern
1299,red 21 lake (ci 45380),18,1,red 21 lake (ci 45380),,,,
1300,avena sativa (oat) kernel oil,18,1,avena sativa (oat) kernel oil,,,,
1301,beheneth-20,18,1,beheneth-20,,,,
1302,prunus domestica seed oil,18,1,prunus domestica seed oil,,,,
1303,polyglyceryl-10 oleate,18,1,polyglyceryl-10 oleate,,,,
1304,inulin lauryl carbamate,18,1,inulin lauryl carbamate,,,,
1305,c12-20 acid peg-8 ester,18,1,c12-20 acid peg-8 ester,,,,
1306,amber powder,18,1,amber powder,,,,
1307,sodium polyglutamate,18,1,sodium polyglutamate,,,,
1308,orange 5 (ci 45370),18,1,orange 5 (ci 45370),,,,
1309,brassica campestris (rapeseed) sterols,18,1,brassica campestris (rapeseed) sterols,,,,
1310,cetyl phosphate,18,1,cetyl phosphate,,,,
1311,pectin,18,1,pectin,,,,
1312,amp-isostearoyl hydrolyzed wheat protein,18,1,amp-isostearoyl hydrolyzed wheat protein,,,,
1313,cyperus esculentus root oil,18,1,cyperus esculentus root oil,,,,
1314,pentaerythrityl distearate,18,1,pentaerythrityl distearate,,,,
1315,pumice,18,1,pumice,,,,
1316,polyester-8,18,1,polyester-8,,,,
1317,sodium hydroxypropylsulfonate laurylglucoside crosspolymer,18,1,sodium hydroxypropylsulfonate laurylglucoside crosspolymer,,,,
1318,dilinoleic acid/butanediol copolymer,18,1,dilinoleic acid/butanediol copolymer,,,,
1319,stearyl glycyrrhetinate,18,1,stearyl glycyrrhetinate,,,,
1320,cucurbita pepo (pumpkin) seed extract,18,1,cucurbita pepo (pumpkin) seed extract,,,,
1321,hibiscus rosa-sinensis flower extract,18,1,hibiscus rosa-sinensis flower extract,,,,
1322,hydrogenated coconut acid,18,1,hydrogenated coconut acid,,,,
1323,evodia rutaecarpa fruit extract,18,1,evodia rutaecarpa fruit extract,,,,
1324,boerhavia diffusa root extract,18,1,boerhavia diffusa root extract,,,,
1325,behenyl behenate,18,1,behenyl behenate,,,,
1326,isostearyl hydroxystearate,18,1,isostearyl hydroxystearate,,,,
1327,rosa multiflora fruit extract,18,1,rosa multiflora fruit extract,,,,
1328,tasmannia lanceolata fruit/leaf extract,18,1,tasmannia lanceolata fruit/leaf extract,,,,
1329,maltose,18,1,maltose,,,,
1330,polyurethane-11,18,1,polyurethane-11,,,,
1331,oligopeptide-2,18,1,oligopeptide-2,,,,
1332,lactose,18,1,lactose,,,,
1333,passiflora edulis,18,1,passiflora edulis,,,,
1334,linoleamidopropyl dimethylamine dimer dilinoleate,18,1,linoleamidopropyl dimethylamine dimer dilinoleate,,,,
1335,vegetable amino acids,18,1,vegetable amino acids,,,,
1336,chondrus crispus,18,1,chondrus crispus,,,,
1337,oxacyclohexadec-12-en-2-one,18,1,oxacyclohexadec-12-en-2-one,,,,
1338,sargassum pacificum thallus extract,18,1,sargassum pacificum thallus extract,,,,
1339,dihydro pentamethylindanone,17,1,dihydro pentamethylindanone,,,,
1340,silybum marianum fruit extract,17,1,silybum marianum fruit extract,,,,
1341,dipeptide-2,17,1,dipeptide-2,,,,
1342,hesperidin methyl chalcone,17,1,hesperidin methyl chalcone,,,,
1343,sodium ascorbate,17,1,sodium ascorbate,,,,
1344,chamomilla recutita (matricaria) extract,17,1,chamomilla recutita (matricaria) extract,,,,
1345,hydroxypinacolone retinoate,17,1,hydroxypinacolone retinoate,,,,
1346,palmitamidopropyltrimonium chloride,17,1,palmitamidopropyltrimonium chloride,,,,
1347,octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer,17,1,octylacrylamide/acrylates/butylaminoethyl methacrylate copolymer,,,,
1348,silicone quaternium-8,17,1,silicone quaternium-8,,,,
1349,adansonia digitata fruit extract,17,1,adansonia digitata fruit extract,,,,
1350,decyl oleate,17,1,decyl oleate,,,,
1351,c15-23 alkane,17,1,c15-23 alkane,,,,
1352,polyglyceryl-6 oleate,17,1,polyglyceryl-6 oleate,,,,
1353,punica granatum seed oil,17,1,punica granatum seed oil,,,,
1354,quercetin,17,1,quercetin,,,,
1355,prunus amygdalus dulcis (sweet almond) seed extract,17,1,prunus amygdalus dulcis (sweet almond) seed extract,,,,
1356,tridecyl stearate,17,1,tridecyl stearate,,,,
1357,octadecene,17,1,octadecene,,,,
1358,pelargonium graveolens (geranium) flower oil,17,1,pelargonium graveolens (geranium) flower oil,,,,
1359,lanolin alcohol,17,1,lanolin alcohol,,,,
1360,polyglyceryl-10 decaisostearate,17,1,polyglyceryl-10 decaisostearate,,,,
1361,hydrogenated olive oil,17,1,hydrogenated olive oil,,,,
1362,hippophae rhamnoides extract,17,1,hippophae rhamnoides extract,,,,
1363,tyrosine,17,1,tyrosine,,,,
1364,spirulina maxima extract,17,1,spirulina maxima extract,,,,
1365,dehydroxanthan gum,17,1,dehydroxanthan gum,,,,
1366,hydrolyzed wheat protein pg-propyl silanetriol,17,1,hydrolyzed wheat protein pg-propyl silanetriol,,,,
1367,opuntia ficus-indica stem extract,17,1,opuntia ficus-indica stem extract,,,,
1368,illite,17,1,illite,,,,
1369,rhodiola rosea root extract,17,1,rhodiola rosea root extract,,,,
1370,ximenia americana seed oil,17,1,ximenia americana seed oil,,,,
1371,acrylates crosspolymer-4,17,1,acrylates crosspolymer-4,,,,
1372,iso e super,17,1,iso e super,,,,
1373,citrus aurantium amara (bitter orange) flower oil,17,1,citrus aurantium amara (bitter orange) flower oil,,,,
1374,mel (honey),17,1,mel (honey),,,,
1375,stearyl heptanoate,17,1,stearyl heptanoate,,,,
1376,zea mays (corn) oil,17,1,zea mays (corn) oil,,,,
1377,c20-40 alcohols,17,1,c20-40 alcohols,,,,
1378,sodium rna,17,1,sodium rna,,,,
1379,peg-75,17,1,peg-75,,,,
1380,ethylhexyl methoxycrylene,17,1,ethylhexyl methoxycrylene,,,,
1381,vp/methacrylamide/vinyl imidazole copolymer,17,1,vp/methacrylamide/vinyl imidazole copolymer,,,,
1382,psidium guajava (guava) fruit extract,17,1,psidium guajava (guava) fruit extract,,,,
1383,ginkgo biloba extract,17,1,ginkgo biloba extract,,,,
1384,flavor/aroma,17,1,flavor/aroma,,,,
1385,hydrogenated palm kernel glycerides,17,1,hydrogenated palm kernel glycerides,,,,
1386,hexylresorcinol,17,1,hexylresorcinol,,,,
1387,eugenia caryophyllus (clove) flower extract,17,1,eugenia caryophyllus (clove) flower extract,,,,
1388,asiatic acid,17,1,asiatic acid,,,,
1389,genistein,17,1,genistein,,,,
1390,cucumis sativus (cucumber) seed oil,17,1,cucumis sativus (cucumber) seed oil,,,,
1391,hordeum vulgare leaf juice,17,1,hordeum vulgare leaf juice*,,,,
1392,isopropanolamine,17,1,isopropanolamine,,,,
1393,methoxycinnamate,17,1,methoxycinnamate,,,,
1394,olivine extract,17,1,olivine extract,,,,
1395,6-nonadien-3-ol,17,1,6-nonadien-3-ol,,,,
1396,sucrose laurate,16,1,sucrose laurate,,,,
1397,gossypium herbaceum (cotton) seed oil,16,1,gossypium herbaceum (cotton) seed oil,,,,
1398,darutoside,16,1,darutoside,,,,
1399,spirulina platensis extract,16,1,spirulina platensis extract,,,,
1400,tetradecyl aminobutyroylvalylaminobutyric urea trifluoroacetate,16,1,tetradecyl aminobutyroylvalylaminobutyric urea trifluoroacetate,,,,
1401,lactobacillus/pumpkin ferment extract,16,1,lactobacillus/pumpkin ferment extract,,,,
1402,cocamidopropylamine oxide,16,1,cocamidopropylamine oxide,,,,
1403,soy amino acids,16,1,soy amino acids,,,,
1404,polyquaternium-70,16,1,polyquaternium-70,,,,
1405,polyquaternium-73,16,1,polyquaternium-73,,,,
1406,hydrogenated cottonseed oil,16,1,hydrogenated cottonseed oil,,,,
1407,synthetic japan wax,16,1,synthetic japan wax,,,,
1408,tocotrienols,16,1,tocotrienols,,,,
1409,nasturtium officinale extract,16,1,nasturtium officinale extract,,,,
1410,hippophae rhamnoides fruit extract,16,1,hippophae rhamnoides fruit extract,,,,
1411,triisostearyl citrate,16,1,triisostearyl citrate,,,,
1412,mentha piperita (peppermint) leaf extract,16,1,mentha piperita (peppermint) leaf extract,,,,
1413,ppg-12/smdi copolymer,16,1,ppg-12/smdi copolymer,,,,
1414,sodium palmate,16,1,sodium palmate,,,,
1415,peg-150,16,1,peg-150,,,,
1416,symphytum officinale leaf extract,16,1,symphytum officinale leaf extract,,,,
1417,mentha arvensis leaf oil,16,1,mentha arvensis leaf oil,,,,
1418,polyquaternium-22,16,1,polyquaternium-22,,,,
1419,euterpe oleracea fruit oil,16,1,euterpe oleracea fruit oil,,,,
1420,brassica oleracea italica (broccoli) extract,16,1,brassica oleracea italica (broccoli) extract,,,,
1421,cyanocobalamin,16,1,cyanocobalamin,,,,
1422,leucine,16,1,leucine,,,,
1423,ferula galbaniflua (galbanum) resin oil,16,1,ferula galbaniflua (galbanum) resin oil*,,,,
1424,potassium sulfate,16,1,potassium sulfate,,,,
1425,bha,16,1,bha,,,,
1426,lauryl/myristyl polyricinoleate,16,1,lauryl/myristyl polyricinoleate,,,,
1427,euterpe oleracea (acaì) fruit oil,16,1,euterpe oleracea (acaì) fruit oil,,,,
1428,carthamus tinctorius (safflower) seed extract,16,1,carthamus tinctorius (safflower) seed extract,,,,
1429,cetyl ricinoleate,16,1,cetyl ricinoleate,,,,
1430,silicone quaternium-18,16,1,silicone quaternium-18,,,,
1431,fructooligosaccharides,16,1,fructooligosaccharides,,,,
1432,malva sylvestris (mallow) flower extract,16,1,malva sylvestris (mallow) flower extract,,,,
1433,panax (ginseng) root extract,16,1,panax (ginseng) root extract,,,,
1434,lysine hcl,16,1,lysine hcl,,,,
1435,fumaric acid,16,1,fumaric acid,,,,
1436,glycogen,16,1,glycogen,,,,
1437,calophyllum inophyllum seed oil,16,1,calophyllum inophyllum seed oil,,,,
1438,yogurt powder,16,1,yogurt powder,,,,
1439,diatomaceous earth,16,1,diatomaceous earth,,,,
1440,madecassic acid,16,1,madecassic acid,,,,
1441,ceramide eos,16,1,ceramide eos,,,,
1442,caprooyl sphingosine,16,1,caprooyl sphingosine,,,,
1443,phytosteryl canola glycerides,16,1,phytosteryl canola glycerides,,,,
1444,propolis extract,16,1,propolis extract,,,,
1445,aspalathus linearis leaf extract,16,1,aspalathus linearis leaf extract,,,,
1446,sapindus mukorossi peel extract,16,1,sapindus mukorossi peel extract,,,,
1447,hydroxypropyl tetrahydropyrantriol,16,1,hydroxypropyl tetrahydropyrantriol,,,,
1448,hydrogenated farnesene,16,1,hydrogenated farnesene*,,,,
1449,c12-13 pareth-9,16,1,c12-13 pareth-9,,,,
1450,silicone quaternium-22,16,1,silicone quaternium-22,,,,
1451,nymphaea odorata root extract,16,1,nymphaea odorata root extract,,,,
1452,theobroma grandiflorum (cupuaçu) seed butter,16,1,theobroma grandiflorum (cupuaçu) seed butter,,,,
1453,lavandula (lavender) spica oil,15,1,lavandula (lavender) spica oil,,,,
1454,enantia chlorantha bark extract,15,1,enantia chlorantha bark extract,,,,
1455,copper tripeptide-1,15,1,copper tripeptide-1,,,,
1456,jasminum officinale (jasmine) oil,15,1,jasminum officinale (jasmine) oil,,,,
1457,peg-4 dilaurate,15,1,peg-4 dilaurate,,,,
1458,apigenin,15,1,apigenin,,,,
1459,benzalkonium chloride,15,1,benzalkonium chloride,,,,
1460,silanetriol,15,1,silanetriol,,,,
1461,opuntia ficus-indica seed oil,15,1,opuntia ficus-indica seed oil,,,,
1462,polybutylene terephthalate,15,1,polybutylene terephthalate,,,,
1463,2- hexanediol,15,1,2- hexanediol,,,,
1464,ethylenediamine/stearyl dimer dilinoleate copolymer,15,1,ethylenediamine/stearyl dimer dilinoleate copolymer,,,,
1465,maltitol,15,1,maltitol,,,,
1466,lepidium meyenii root extract,15,1,lepidium meyenii root extract,,,,
1467,corn starch modified,15,1,corn starch modified,,,,
1468,chondrus crispus powder,15,1,chondrus crispus powder,,,,
1469,nepeta cataria extract,15,1,nepeta cataria extract,,,,
1470,baptisia tinctoria root extract,15,1,baptisia tinctoria root extract,,,,
1471,citrus junos fruit extract,15,1,citrus junos fruit extract,,,,
1472,lepidium sativum sprout extract,15,1,lepidium sativum sprout extract,,,,
1473,ethyl lauroyl arginate hcl,15,1,ethyl lauroyl arginate hcl,,,,
1474,c12-15 alkyl ethylhexanoate,15,1,c12-15 alkyl ethylhexanoate,,,,
1475,gardenia tahitensis (tiare) flower extract,15,1,gardenia tahitensis (tiare) flower extract,,,,
1476,litchi chinensis seed extract,15,1,litchi chinensis seed extract,,,,
1477,equisetum arvense (horsetail) leaf extract,15,1,equisetum arvense (horsetail) leaf extract,,,,
1478,keratin amino acids,15,1,keratin amino acids,,,,
1479,volcanic ash,15,1,volcanic ash,,,,
1480,gellidiela acerosa (algae) extract,15,1,gellidiela acerosa (algae) extract,,,,
1481,lactamide mea,15,1,lactamide mea,,,,
1482,acetyl triethyl citrate,15,1,acetyl triethyl citrate,,,,
1483,sodium laurate,15,1,sodium laurate,,,,
1484,benzyl nicotinate,15,1,benzyl nicotinate,,,,
1485,citrus paradisi (grapefruit) oil,15,1,citrus paradisi (grapefruit) oil,,,,
1486,ambrettolide,15,1,ambrettolide,,,,
1487,ambroxan,15,1,ambroxan,,,,
1488,cedrol methyl ether,15,1,cedrol methyl ether,,,,
1489,butyl,15,1,butyl,,,,
1490,methoxydibenzoylmethane,15,1,methoxydibenzoylmethane,,,,
1491,palmitoyl grape seed extract,15,1,palmitoyl grape seed extract,,,,
1492,cassia angustifolia seed polysaccharide,15,1,cassia angustifolia seed polysaccharide,,,,
1493,lactobacillus/papaya fruit ferment extract,15,1,lactobacillus/papaya fruit ferment extract,,,,
1494,olus oil/vegetable oil/huile végétale,15,1,olus oil/vegetable oil/huile végétale,,,,
1495,glyceryl dioleate,15,1,glyceryl dioleate,,,,
1496,salicyloyl phytosphingosine,15,1,salicyloyl phytosphingosine,,,,
1497,maris sal/sea salt/sel marin,15,1,maris sal/sea salt/sel marin,,,,
1498,glycyrrhetinic acid,15,1,glycyrrhetinic acid,,,,
1499,laureth-2,15,1,laureth-2,,,,
1500,betula alba (birch) bark extract,15,1,betula alba (birch) bark extract,,,,
1501,dipotassium phosphate,15,1,dipotassium phosphate,,,,
1502,gentiana lutea (gentian) root extract,15,1,gentiana lutea (gentian) root extract,,,,
1503,ethylbisiminomethylguaiacol manganese chloride,15,1,ethylbisiminomethylguaiacol manganese chloride,,,,
1504,poria cocos sclerotium extract,15,1,poria cocos sclerotium extract,,,,
1505,quaternium-33,15,1,quaternium-33,,,,
1506,peg-120 methyl glucose trioleate,15,1,peg-120 methyl glucose trioleate,,,,
1507,propanol,15,1,propanol,,,,
1508,c10-30 cholesterol/lanosterol esters,15,1,c10-30 cholesterol/lanosterol esters,,,,
1509,biosaccharide gum-2,15,1,biosaccharide gum-2,,,,
1510,pinus pentaphylla seed oil,15,1,pinus pentaphylla seed oil,,,,
1511,rhus verniciflua peel wax,15,1,rhus verniciflua peel wax,,,,
1512,disteareth-75 ipdi,15,1,disteareth-75 ipdi,,,,
1513,gentiana lutea root extract,15,1,gentiana lutea root extract,,,,
1514,caprooyl phytosphingosine,15,1,caprooyl phytosphingosine,,,,
1515,triticum vulgare (wheat) starch,15,1,triticum vulgare (wheat) starch,,,,
1516,linoleamidopropyl pg-dimonium chloride phosphate,15,1,linoleamidopropyl pg-dimonium chloride phosphate,,,,
1517,crosspolymer,15,1,crosspolymer,,,,
1518,ethyl hexanediol,15,1,ethyl hexanediol,,,,
1519,prunus armeniaca (apricot) fruit extract,15,1,prunus armeniaca (apricot) fruit extract,,,,
1520,ci 47000 (yellow 11),15,1,ci 47000 (yellow 11),,,,
1521,ci 26100 (red 17),15,1,ci 26100 (red 17),,,,
1522,cetyl stearate,15,1,cetyl stearate,,,,
1523,benzyl,15,1,benzyl,,,,
1524,hydrogenated soy polyglycerides,15,1,hydrogenated soy polyglycerides,,,,
1525,laureth-5 carboxylic acid,15,1,laureth-5 carboxylic acid,,,,
1526,bis-aminopropyl diglycol dimaleate,15,1,bis-aminopropyl diglycol dimaleate,,,,
1527,renewable plant oils,15,1,renewable plant oils,,,,
1528,vegetable soy wax,15,1,vegetable soy wax,,,,
1529,honey,14,1,honey,,,,
1530,6-dimethoxy-2,14,1,6-dimethoxy-2,,,,
1531,copper palmitoyl heptapeptide-14,14,1,copper palmitoyl heptapeptide-14,,,,
1532,nannochloropsis oculata extract,14,1,nannochloropsis oculata extract,,,,
1533,tremella fuciformis polysaccharide,14,1,tremella fuciformis polysaccharide,,,,
1534,dicetyldimonium chloride,14,1,dicetyldimonium chloride,,,,
1535,amp-acrylates copolymer,14,1,amp-acrylates copolymer,,,,
1536,passiflora incarnata seed oil,14,1,passiflora incarnata seed oil,,,,
1537,lauryl betaine,14,1,lauryl betaine,,,,
1538,atelocollagen,14,1,atelocollagen,,,,
1539,hydrogenated phosphatidylcholine,14,1,hydrogenated phosphatidylcholine,,,,
1540,batyl alcohol,14,1,batyl alcohol,,,,
1541,agar,14,1,agar,,,,
1542,rosa moschata seed oil,14,1,rosa moschata seed oil,,,,
1543,hippophae rhamnoides fruit oil,14,1,hippophae rhamnoides fruit oil,,,,
1544,sodium palm kernelate,14,1,sodium palm kernelate,,,,
1545,stellaria media (chickweed) extract,14,1,stellaria media (chickweed) extract,,,,
1546,daucus carota sativa (carrot) seed oil,14,1,daucus carota sativa (carrot) seed oil,,,,
1547,astaxanthin,14,1,astaxanthin,,,,
1548,cymbopogon schoenanthus oil,14,1,cymbopogon schoenanthus oil,,,,
1549,myristyl laurate,14,1,myristyl laurate,,,,
1550,brassica oleracea acephala leaf extract,14,1,brassica oleracea acephala leaf extract,,,,
1551,glyceryl dibehenate,14,1,glyceryl dibehenate,,,,
1552,camphor,14,1,camphor,,,,
1553,glyceryl caprylate/caprate,14,1,glyceryl caprylate/caprate,,,,
1554,stearyl caprylate,14,1,stearyl caprylate,,,,
1555,psidium guajava fruit extract,14,1,psidium guajava fruit extract,,,,
1556,paullinia cupana seed extract,14,1,paullinia cupana seed extract,,,,
1557,denatonium benzoate,14,1,denatonium benzoate,,,,
1558,hydrogenated didecene,14,1,hydrogenated didecene,,,,
1559,polyester-7,14,1,polyester-7,,,,
1560,polyquaternium-47,14,1,polyquaternium-47,,,,
1561,marrubium vulgare extract,14,1,marrubium vulgare extract,,,,
1562,hamamelis virginiana (witch hazel),14,1,hamamelis virginiana (witch hazel),,,,
1563,nordihydroguaiaretic acid,14,1,nordihydroguaiaretic acid,,,,
1564,castanea sativa (chestnut) seed extract,14,1,castanea sativa (chestnut) seed extract,,,,
1565,triacetin,14,1,triacetin,,,,
1566,dmdm hydantoin,14,1,dmdm hydantoin,,,,
1567,cyamopsis tetragonoloba (guar) gum,14,1,cyamopsis tetragonoloba (guar) gum,,,,
1568,cereus grandiflorus (cactus) extract,14,1,cereus grandiflorus (cactus) extract,,,,
1569,caprylic/capric triglycerides,14,1,caprylic/capric triglycerides,,,,
1570,citrus aurantium bergamia (bergamot) fruit extract,14,1,citrus aurantium bergamia (bergamot) fruit extract,,,,
1571,eugenia caryophyllus (clove) leaf oil,14,1,eugenia caryophyllus (clove) leaf oil,,,,
1572,capsicum frutescens fruit extract,14,1,capsicum frutescens fruit extract,,,,
1573,vanillyl butyl ether,14,1,vanillyl butyl ether,,,,
1574,santalum album (sandalwood) wood extract,14,1,santalum album (sandalwood) wood extract,,,,
1575,sarcosine,14,1,sarcosine,,,,
1576,brassica oleracea capitata (cabbage) leaf extract,14,1,brassica oleracea capitata (cabbage) leaf extract,,,,
1577,glycoproteins,14,1,glycoproteins,,,,
1578,galactomyces ferment filtrate,14,1,galactomyces ferment filtrate,,,,
1579,capryloyl/caproyl methyl glucamide,14,1,capryloyl/caproyl methyl glucamide,,,,
1580,hydrogenated poly (c6-14 olefin),14,1,hydrogenated poly (c6-14 olefin),,,,
1581,royal jelly,14,1,royal jelly,,,,
1582,zinc,14,1,zinc,,,,
1583,aspalathus linearis extract,14,1,aspalathus linearis extract,,,,
1584,tetrapeptide-14,14,1,tetrapeptide-14,,,,
1585,poly(linseed oil),14,1,poly(linseed oil),,,,
1586,peg-12 allyl ether,14,1,peg-12 allyl ether,,,,
1587,acetyl hexapeptide-1,14,1,acetyl hexapeptide-1,,,,
1588,methyl benzoate,13,1,methyl benzoate,,,,
1589,chlorella protothecoides oil,13,1,chlorella protothecoides oil,,,,
1590,glycol,13,1,glycol,,,,
1591,bupleurum falcatum root extract,13,1,bupleurum falcatum root extract,,,,
1592,sodium lauroyl oat amino acids,13,1,sodium lauroyl oat amino acids,,,,
1593,silybum marianum seed oil,13,1,silybum marianum seed oil,,,,
1594,bidens pilosa extract,13,1,bidens pilosa extract,,,,
1595,heptapeptide-15 palmitate,13,1,heptapeptide-15 palmitate,,,,
1596,solanum lycopersicum (tomato) fruit extract,13,1,solanum lycopersicum (tomato) fruit extract,,,,
1597,centella asiatica meristem cell culture,13,1,centella asiatica meristem cell culture,,,,
1598,hydroxystearic/linolenic/oleic polyglycerides,13,1,hydroxystearic/linolenic/oleic polyglycerides,,,,
1599,polyacrylate-21,13,1,polyacrylate-21,,,,
1600,dibutyl ethylhexanoyl glutamide,13,1,dibutyl ethylhexanoyl glutamide,,,,
1601,mineral oil,13,1,mineral oil,,,,
1602,butylparaben,13,1,butylparaben,,,,
1603,zea mays (corn) starch zea mays starch,13,1,zea mays (corn) starch zea mays starch,,,,
1604,polyisoprene,13,1,polyisoprene,,,,
1605,leontopodium alpinum callus culture extract,13,1,leontopodium alpinum callus culture extract,,,,
1606,sodium acrylates crosspolymer-2,13,1,sodium acrylates crosspolymer-2,,,,
1607,hamamelis virginiana (witch hazel) extract,13,1,hamamelis virginiana (witch hazel) extract,,,,
1608,morinda citrifolia fruit extract,13,1,morinda citrifolia fruit extract,,,,
1609,paraffinum liquidum (mineral oil),13,1,paraffinum liquidum (mineral oil),,,,
1610,apium graveolens (celery) seed extract,13,1,apium graveolens (celery) seed extract,,,,
1611,ammonium hydroxide,13,1,ammonium hydroxide,,,,
1612,microcitrus australasica fruit extract,13,1,microcitrus australasica fruit extract,,,,
1613,hydrolyzed hibiscus esculentus extract,13,1,hydrolyzed hibiscus esculentus extract,,,,
1614,anthemis nobilis (chamomile) flower extract,13,1,anthemis nobilis (chamomile) flower extract,,,,
1615,rice amino acids,13,1,rice amino acids,,,,
1616,distarch phosphate,13,1,distarch phosphate,,,,
1617,ppg-2 hydroxyethyl cocamide,13,1,ppg-2 hydroxyethyl cocamide,,,,
1618,potassium stearate,13,1,potassium stearate,,,,
1619,sea salt,13,1,sea salt,,,,
1620,methyl hydrogenated rosinate,13,1,methyl hydrogenated rosinate,,,,
1621,vitis vinifera (grape) fruit water,13,1,vitis vinifera (grape) fruit water,,,,
1622,polylactic acid,13,1,polylactic acid,,,,
1623,salvia hispanica (chia) seed extract,13,1,salvia hispanica (chia) seed extract,,,,
1624,acetyl tetrapeptide-9,13,1,acetyl tetrapeptide-9,,,,
1625,hydrolyzed viola tricolor extract,13,1,hydrolyzed viola tricolor extract,,,,
1626,rosa centifolia flower water,13,1,rosa centifolia flower water,,,,
1627,acetyl tetrapeptide-2,13,1,acetyl tetrapeptide-2,,,,
1628,polyglyceryl-10 pentaisostearate,13,1,polyglyceryl-10 pentaisostearate,,,,
1629,potato starch modified,13,1,potato starch modified,,,,
1630,hydrolyzed verbascum thapsus flower,13,1,hydrolyzed verbascum thapsus flower,,,,
1631,hylocereus undatus fruit extract,13,1,hylocereus undatus fruit extract,,,,
1632,gluconic acid,13,1,gluconic acid,,,,
1633,violet 2 (ci 60725),13,1,violet 2 (ci 60725),,,,
1634,populus tremuloides bark extract,13,1,populus tremuloides bark extract,,,,
1635,juniperus virginiana oil,13,1,juniperus virginiana oil,,,,
1636,tamarindus indica seed gum,13,1,tamarindus indica seed gum,,,,
1637,citrus aurantium dulcis (orange) flower oil,13,1,citrus aurantium dulcis (orange) flower oil,,,,
1638,hydrogenated castor oil dimer dilinoleate,13,1,hydrogenated castor oil dimer dilinoleate,,,,
1639,polyurethane-35,13,1,polyurethane-35,,,,
1640,aframomum angustifolium seed extract,13,1,aframomum angustifolium seed extract,,,,
1641,ci 47005 (yellow 10),13,1,ci 47005 (yellow 10),,,,
1642,lactobacillus/pumpkin fruit ferment filtrate,13,1,lactobacillus/pumpkin fruit ferment filtrate,,,,
1643,potassium azeloyl diglycinate,13,1,potassium azeloyl diglycinate,,,,
1644,cinnamomum cassia bark extract,13,1,cinnamomum cassia bark extract,,,,
1645,peg-240/hdi copolymer bis-decyltetradeceth-20 ether,13,1,peg-240/hdi copolymer bis-decyltetradeceth-20 ether,,,,
1646,sodium starch octenylsuccinate,13,1,sodium starch octenylsuccinate,,,,
1647,passiflora incarnata fruit extract,13,1,passiflora incarnata fruit extract,,,,
1648,lauroyl/myristoyl methyl glucamide,13,1,lauroyl/myristoyl methyl glucamide,,,,
1649,oryza sativa (rice) germ oil,13,1,oryza sativa (rice) germ oil,,,,
1650,rhodiola rosea extract,13,1,rhodiola rosea extract,,,,
1651,phosphatidylglycerol,13,1,phosphatidylglycerol,,,,
1652,amylcinnamyl alcohol,13,1,amylcinnamyl alcohol,,,,
