risk_category,matched_ingredient,frequency
heavy metals/pigments,synthetic fluorphlogopite zinc stearate triethoxycaprylylsilane caprylyl glycol dimethicone ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymer alumina glycerin silica titanium dioxide (ci 77891) iron oxides (ci 77491) iron oxides (ci 77492) iron oxides (ci 77499) blue 1 lake ci 42090 carmine (ci 75470) ferric ammonium ferrocyanide (ci 77510) yellow 5 lake (ci 19140) ultramarines (ci 77007),1
heavy metals/pigments,talc  synthetic fluorphlogopite octyldodecyl stearoyl stearate silica diisostearyl malate mica caprylyl glycol ethylhexylglycerin tin oxide ptfe zinc stearate calcium titanium borosilicate calcium aluminum borosilicatecalcium sodium borosilicate aluminum calcium sodium silicate alumina titanium dioxide (ci 77891) iron oxides (ci 77491) iron oxides (ci 77492) iron oxides (ci 77499) aluminum powder (ci 77000) blue 1 lake (ci 42090) bronze powder (ci 77400) copper powder (ci 77400) ferric ammonium ferrocyanide (ci 77510) ferric ferrocyanide (ci 77510) manganese violet (ci 77742) yellow 5 lake (ci 19140) ultramarines (ci 77007),1
heavy metals/pigments,talc aluminum calcium sodium silicate octyldodecyl stearoyl stearate calcium aluminum borosilicate mica titanium dioxide ci 77891 diisostearyl malate caprylyl glycol ethylhexylglycerin iron oxides ci 77491 tin oxide carmine ci 75470 zinc stearate tocopherol,1
heavy metals/pigments,talc calcium aluminum borosilicate mica octyldodecyl stearoyl stearate iron oxides ci 77491 diisostearyl malate titanium dioxide ci 77891 silica zinc stearate synthetic fluorphlogopite caprylyl glycol ethylhexylglycerin carmine ci 75470 iron oxides ci 77499 tin oxide tocopherol,1
heavy metals/pigments,talc calcium aluminum borosilicate octyldodecyl stearoyl stearate calcium sodium borosilicate synthetic fluorphlogopite diisostearyl malate silica caprylyl glycol ethylhexylglycerin tin oxide ptfe zinc stearate ci 77891 (titanium dioxide) ci 77491 (iron oxides) ci 77492 (iron oxides) ci 77499 (iron oxides) ci 75470 (carmine),1
heavy metals/pigments,talc calcium sodium borosilicate synthetic fluorphlogopite octyldodecyl stearoyl stearateci 77491 (iron oxides)diisostearyl malate aluminaci 77891 (titanium dioxide)caprylyl glycol ethylhexylglycerin mica tin oxide ptfe zinc stearate calcium titanium borosilicate calcium aluminum borosilicate silica aluminum calcium sodium silicateci 77510 (ferric ferrocyanide)ci 77492 (iron oxides)corporate regulatory affairs officeci 77499 (iron oxides),1
heavy metals/pigments,talc mica iron oxides ci 77499 octyldodecyl stearoyl stearate diisostearyl malate titanium dioxide ci 77891 zinc stearate iron oxides ci 77491 caprylyl glycol ethylhexylglycerin iron oxides ci 77492 tocopherol,1
heavy metals/pigments,talc mica octyldodecyl stearoyl stearate calcium sodium borosilicate ci 77891 (titanium dioxide) diisostearyl malate ci 75470 (carmine ) ci 77400 (copper powder) ci 77491 (iron oxides) alumina ci 19140 (yellow 5 lake) caprylyl glycol ethylhexylglycerin ci 77499 (iron oxides) silica tin oxide ptfe zinc stearate synthetic fluorphlogopite calcium titanium borosilicate calcium aluminum borosilicate aluminum calcium sodium silicate ci 77492 (iron oxides),1
heavy metals/pigments,talc mica octyldodecyl stearoyl stearate diisostearyl malate calcium aluminum borosilicate caprylyl glycol ethylhexylglycerin tin oxide ptfe zinc stearate calcium sodium borosilicatesilica calcium titanium borosilicate synthetic fluorphlogopite aluminum calcium sodium silicate alumina titanium dioxide (ci 77891) iron oxides (ci 77491iron oxides (ci 77492) iron oxides (ci 77499) aluminum powder (ci 77000) bronze powder (ci 77400) carmine (ci 75470) copper powder (ci 77400)ferric ferrocyanide (ci 77510),1
heavy metals/pigments,talc mica octyldodecyl stearoyl stearate diisostearyl malate caprylyl glycol ethylhexylglycerin ptfe zinc stearate synthetic fluorphlogopite calcium aluminum borosilicate silica calcium sodium borosilicate aluminum calcium sodium silicate alumina tin oxide titanium dioxide (ci 77891) iron oxides (ci 77491) carmine (ci 75470) ferric ferrocyanide (ci 77510),1
heavy metals/pigments,talc mica octyldodecyl stearoyl stearate iron oxides ci 77499 titanium dioxide ci 77891 iron oxides ci 77491 diisostearyl malate caprylyl glycol ethylhexylglycerin iron oxides ci 77492 zinc stearate tocopherol,1
heavy metals/pigments,talc mica octyldodecyl stearoyl stearate titanium dioxide ci 77891 diisostearyl malate synthetic fluorphlogopite caprylyl glycol ethylhexylglycerin chromium oxide greens ci 77288 tin oxide zinc stearate tocopherol,1
heavy metals/pigments,talc mica titanium dioxide ci 77891 octyldodecyl stearoyl stearate diisostearyl malate iron oxides ci 77499 chromium oxide greens ci 77288 caprylyl glycol ethylhexylglycerin iron oxides ci 77491 zinc stearate tocopherol,1
heavy metals/pigments,talc octyldodecyl stearoyl stearate mica titanium dioxide ci 77891 alumina diisostearyl malate zinc stearate iron oxides ci 77491 bronze powder ci 77400 iron oxides ci 77499 silica tin oxide caprylyl glycol ethylhexylglycerin tocopherol,1
heavy metals/pigments,talc octyldodecyl stearoyl stearate micaci 77491 (iron oxides)silica calcium aluminum borosilicate diisostearyl malateci 77400 (copper powder)ci 77499 (iron oxides) ci 77492 (iron oxides)ci 77891 (titanium dioxide)ci 75470 (carmine)caprylyl glycol ethylhexylglycerin tin oxide ptfe zinc stearateci 77400 (bronze powder)calcium titanium borosilicate calcium sodium borosilicate aluminum calcium sodium silicate aluminacorporate regulatory affairs officesynthetic fluorphlogopiteci 77510 (ferric ferrocyanide,1
heavy metals/pigments,talc octyldodecyl stearoyl stearate titanium dioxide ci 77891 alumina mica diisostearyl malate aluminum powder ci 77000 synthetic fluorphlogopite zinc stearate yellow 5 lake ci 19140 silica iron oxides ci 77491 caprylyl glycol ethylhexylglycerin tin oxide ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 iron oxides ci 77499 tocopherol,1
heavy metals/pigments,talc octyldodecyl stearoyl stearateci 77891 (titanium dioxide)synthetic fluorphlogopite alumina diisostearyl malate silicaci 75470 (carmine)ci 77491 (iron oxides)tin oxide caprylyl glycol ethylhexylglycerin mica ptfe zinc stearateci 77007 (ultramarines)ci 77492 (iron oxides) ci 77499 (iron oxides)ci 42090 (blue 1 lake)ci 77510 (ferric ammonium ferrocyanide)ci 19140 (yellow 5 lake)ci 77400 (bronze powder)ci 77400 (copper powder)ci 77000 (aluminum powder)calcium titanium borosilicate calcium aluminum borosilicate calcium sodium borosilicate aluminum calcium sodium silicate,1
heavy metals/pigments,talcci 77491 (iron oxides)synthetic fluorphlogopite octyldodecyl stearoyl stearateci 77400 (copper powder)calcium titanium borosilicate diisostearyl malateci 77492 (iron oxides) ci 77499 (iron oxides)calcium sodium borosilicate calcium aluminum borosilicateci 75470 (carmine)ci 77891 (titanium dioxide)silica caprylyl glycol ethylhexylglycerinci 19140 (yellow 5 lake)tin oxide ptfe zinc stearateci 77400 (bronze powder)aluminum calcium sodium silicate,1
heavy metals/pigments,tin oxide  +/- titanium dioxide (ci 77891),2
heavy metals/pigments,tin oxide (+/-) iron oxides ci 77499,1
heavy metals/pigments,tin oxide. (+/-) titanium dioxide (ci 77891),1
heavy metals/pigments,tin oxide. may contain (+/-) titanium dioxide/ci 77891,1
heavy metals/pigments,tin oxide. may contain/peut contenir (+/-) titanium dioxide (ci 77891),1
heavy metals/pigments,titanium dioxide,148
heavy metals/pigments,titanium dioxide  (ci 77891),2
heavy metals/pigments,titanium dioxide (4%),1
heavy metals/pigments,titanium dioxide (c i77891),1
heavy metals/pigments,titanium dioxide (c1 77891),1
heavy metals/pigments,titanium dioxide (capsule),2
heavy metals/pigments,titanium dioxide (ci,6
heavy metals/pigments,titanium dioxide (ci  77891),2
heavy metals/pigments,titanium dioxide (ci 7781),1
heavy metals/pigments,titanium dioxide (ci 7789),1
heavy metals/pigments,titanium dioxide (ci 77891),1844
heavy metals/pigments,titanium dioxide (ci 77891) &lt;iln46335&gt,1
heavy metals/pigments,titanium dioxide (ci 77891) *hadasei-3,1
heavy metals/pigments,titanium dioxide (ci 77891) / iron oxides (ci 77492,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln32953>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln36100>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln37804>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln38704>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln39034>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln39593>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln40359>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln40749>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln41076>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln42024>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln42230>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln43483>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln48834>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln49506>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln50823>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln50824>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln50825>,1
heavy metals/pigments,titanium dioxide (ci 77891) <iln50826>,1
heavy metals/pigments,titanium dioxide (ci 77891) iron oxides (ci 77491,1
heavy metals/pigments,titanium dioxide (ci 77891) manganese violet (ci 77742),1
heavy metals/pigments,titanium dioxide (ci 77891) manganese violet (ci 77742). *contains carmine as a color additive,1
heavy metals/pigments,titanium dioxide (ci 77891) silica trimethylsiloxysilicate talc,2
heavy metals/pigments,titanium dioxide (ci 77891)*,2
heavy metals/pigments,titanium dioxide (ci 77891)**,1
heavy metals/pigments,titanium dioxide (ci 77891). *contains carmine as a color additive,6
heavy metals/pigments,titanium dioxide (ci 77891). contains carmine as a color additive,1
heavy metals/pigments,titanium dioxide (ci 77891). soft pink matte (2),1
heavy metals/pigments,titanium dioxide (ci77891),18
heavy metals/pigments,titanium dioxide (cl 77891),5
heavy metals/pigments,titanium dioxide (titanium dioxide nano),1
heavy metals/pigments,titanium dioxide / ci 77891,1
heavy metals/pigments,titanium dioxide 0.94%,1
heavy metals/pigments,titanium dioxide 1.0%,1
heavy metals/pigments,titanium dioxide 1.00%,1
heavy metals/pigments,titanium dioxide 1.33%,4
heavy metals/pigments,titanium dioxide 1.5%water,1
heavy metals/pigments,titanium dioxide 1.7%water,1
heavy metals/pigments,titanium dioxide 1.70%water,1
heavy metals/pigments,titanium dioxide 1.93%,1
heavy metals/pigments,titanium dioxide 2%,1
heavy metals/pigments,titanium dioxide 2.0%,1
heavy metals/pigments,titanium dioxide 2.1%,1
heavy metals/pigments,titanium dioxide 2.3%,1
heavy metals/pigments,titanium dioxide 2.9%,2
heavy metals/pigments,titanium dioxide 3.1%,2
heavy metals/pigments,titanium dioxide 3.15% sunscreen,2
heavy metals/pigments,titanium dioxide 3.50%,1
heavy metals/pigments,titanium dioxide 3.6%,1
heavy metals/pigments,titanium dioxide 4.15%,2
heavy metals/pigments,titanium dioxide 4.23%,1
heavy metals/pigments,titanium dioxide 4.28%,1
heavy metals/pigments,titanium dioxide 4.9%,1
heavy metals/pigments,titanium dioxide 5.37%,1
heavy metals/pigments,titanium dioxide 5.8%,1
heavy metals/pigments,titanium dioxide 6.3%,2
heavy metals/pigments,titanium dioxide 7.30%,1
heavy metals/pigments,titanium dioxide 7.4%,2
heavy metals/pigments,titanium dioxide 7.8%,1
heavy metals/pigments,titanium dioxide 9%,2
heavy metals/pigments,titanium dioxide ci 77890,1
heavy metals/pigments,titanium dioxide ci 77891,78
heavy metals/pigments,titanium dioxide ci 77891),2
heavy metals/pigments,titanium dioxide nano,3
heavy metals/pigments,titanium dioxide nano (ci 77891),3
heavy metals/pigments,titanium dioxide nano / titanium dioxide,1
heavy metals/pigments,titanium dioxide v283863/1,1
heavy metals/pigments,titanium dioxide#ci 77891,3
heavy metals/pigments,titanium dioxide(ci 77891),12
heavy metals/pigments,titanium dioxide**,1
heavy metals/pigments,titanium dioxide/ci 77891,26
heavy metals/pigments,titanium/titanium dioxide,5
heavy metals/pigments,tocopherol  +/- ci 77891 (titanium dioxide),1
heavy metals/pigments,tocopherol +/- ci 77891 (titanium dioxide),1
heavy metals/pigments,tocopherol may contain ci 77491 (iron oxides),1
heavy metals/pigments,tocopherol.  +/- ci 77491 (iron oxides),1
heavy metals/pigments,tocopherol.  +/- ci 77891 (titanium dioxide),4
heavy metals/pigments,tocopherol. +/- ci 77891 (titanium dioxide),2
heavy metals/pigments,tocopherol. may contain (+/-) iron oxides (ci 77491),1
heavy metals/pigments,triisodecyl trimellitate trimethylolpropane triisostearate polybutene octyldodecanol titanium dioxide (ci 77891) microcrystalline wax (cera microcristallina) hydrogenated polyisobutene caprylic/capric triglyceride vp/eicosene copolymer polyethylene mica iron oxides (ci 77491) iron oxides (ci 77492) stearalkonium bentonite methyl methacrylate crosspolymer red 7 lake (ci 15850) hydrogenated styrene/butadiene copolymer phytosteryl isostearate propylene carbonate blue 1 lake (ci 42090) pentaerythrityl tetra-di-t- butyl hydroxyhydrocinnamate ethyl vanillin dicalcium phosphate bht rubus idaeus (raspberry) leaf extract rubus idaeus leaf extract yellow 5 lake (ci 19140) tin oxide,1
heavy metals/pigments,zinc oxide 6.3% may contain titanium dioxide,2
heavy metals/pigments,zinc stearate (+/-) iron oxides ci 77492,1
heavy metals/pigments,zinc stearate (+/-)titanium dioxide ci 77891,1
