variant_group,ingredient_variant,frequency
iron oxides,ridecyl trimellitate trimethylolpropane triisostearate polybutene octyldodecanol microcrystalline wax (cera microcristallina) hydrogenated polyisobutene vp/eicosene copolymer caprylic/capric triglyceride polyethylene mica stearalkonium bentonite silica hydrogenated styrene/butadiene copolymer phytosteryl isostearate propylene carbonate pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate ethyl vanillin dicalcium phosphate rubus idaeus (raspberry) leaf extract rubus idaeus leaf extract calcium aluminum borosilicate aluminum calcium sodium silicate calcium titanium borosilicate alumina calcium sodium borosilicate synthetic fluorphlogopite tin oxide titanium dioxide (ci 77891) iron oxides (ci 77491) iron oxides (ci 77492) blue 1 lake (ci 42090) yellow 5 lake (ci 19140) red 6 (ci 15850) red 7 lake (ci 15850),1
iron oxides,silica (+/-) iron oxides ci 77492,2
iron oxides,silica (+/-) iron oxides ci 77499,2
iron oxides,silica. (+/-) iron oxides (ci 77491,1
iron oxides,sodium salicylate. may contain (+/-) iron oxides/ci 77491,1
iron oxides,synthetic fluorphlogopite  calcium aluminum borosilicate  caprylic/capric triglyceride  squalane  dimethicone  silica  dicalcium phosphate  zinc stearate  calcium sodium borosilicate  trimethylsiloxysilicate  dimethicone/vinyl dimethicone crosspolymer  hydrogenated styrene/ isoprene copolymer  tocopheryl acetate  zea mays (corn) starch  glycerin  ethylhexylglycerin  caprylyl glycol  c20-24 olefin  calcium titanium borosilicate  tin oxide  alumina  triethoxycaprylylsilane  laureth-4  pentaerythrityl tetra-di-t-butyl hydroxyhydrocinnamate  +/- mica  titanium dioxide (ci 77891)  iron oxides (ci 77491)  iron oxides (ci 77492)  iron oxides (ci 77499)  aluminum powder (ci 77000)  bismuth oxychloride (ci 77163)  bronze powder (ci 77400)  carmine (ci 75470)  chromium hydroxide green (ci 77289)  chromium oxide greens (ci 77288)  copper powder (ci 77400)  ferric ammonium ferrocyanide (ci 77510)  ferric ferrocyanide (ci 77510)  manganese violet (ci 77742)  ultramarines (ci 77007)  blue 1 lake (ci 42090)  yellow 5 lake (ci 19140),1
iron oxides,synthetic fluorphlogopite titanium dioxide ci 77891 zinc stearate carmine ci 75470 iron oxides ci 77491 iron oxides ci 77499 dimethicone iron oxides ci 77492 triethoxycaprylylsilane caprylyl glycol ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymer maltodextrin silica tocopherol,1
iron oxides,synthetic fluorphlogopite titanium dioxide ci 77891 zinc stearate dimethicone iron oxides ci 77491 iron oxides ci 77492 carmine ci 75470 triethoxycaprylylsilane iron oxides ci 77499 caprylyl glycol ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymer maltodextrin silica tocopherol,1
iron oxides,synthetic fluorphlogopite titanium dioxide ci 77891 zinc stearate iron oxides ci 77492 dimethicone iron oxides ci 77499 triethoxycaprylylsilane blue 1 lake ci 42090 caprylyl glycol ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymer mica silica tocopherol,1
iron oxides,synthetic fluorphlogopite titanium dioxide ci 77891 zinc stearate iron oxides ci 77492 iron oxides ci 77499 dimethicone iron oxides ci 77491 triethoxycaprylylsilane caprylyl glycol ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymer silica tocopherol,1
iron oxides,synthetic fluorphlogopite titanium dioxide ci 77891 zinc stearate iron oxides ci 77499 iron oxides ci 77492 dimethicone iron oxides ci 77491 triethoxycaprylylsilane caprylyl glycol ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymer silica tocopherol,1
iron oxides,synthetic fluorphlogopite zea mays (corn) starch zea mays starch zinc stearate caprylic/capric triglyceride diisostearyl malate glyceryl caprylate p-anisic acid rosa hybrid flower extract iron oxides (ci 77491) iron oxides (ci 77492) iron oxides (ci 77499),1
iron oxides,synthetic fluorphlogopite zinc stearate    titanium dioxide ci 77891  iron oxides ci 77499    iron oxides ci 77492    dimethicone    blue 1 lake ci 42090    triethoxycaprylylsilane  caprylyl glycol    ethylhexylglycerin    hdi/trimethylol hexyllactone crosspolymer silica    iron oxides ci 77491    tocopherol,1
iron oxides,synthetic fluorphlogopite zinc stearate dimethicone triethoxycaprylylsilane caprylyl glycol ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymersilica iron oxides (ci 77491)iron oxides (ci 77499)carmine (ci 75470)ultramarines (ci 77007),1
iron oxides,synthetic fluorphlogopite zinc stearate triethoxycaprylylsilane caprylyl glycol dimethicone ethylhexylglycerin hdi/trimethylol hexyllactone crosspolymer alumina glycerin silica titanium dioxide (ci 77891) iron oxides (ci 77491) iron oxides (ci 77492) iron oxides (ci 77499) blue 1 lake ci 42090 carmine (ci 75470) ferric ammonium ferrocyanide (ci 77510) yellow 5 lake (ci 19140) ultramarines (ci 77007),1
iron oxides,talc  synthetic fluorphlogopite octyldodecyl stearoyl stearate silica diisostearyl malate mica caprylyl glycol ethylhexylglycerin tin oxide ptfe zinc stearate calcium titanium borosilicate calcium aluminum borosilicatecalcium sodium borosilicate aluminum calcium sodium silicate alumina titanium dioxide (ci 77891) iron oxides (ci 77491) iron oxides (ci 77492) iron oxides (ci 77499) aluminum powder (ci 77000) blue 1 lake (ci 42090) bronze powder (ci 77400) copper powder (ci 77400) ferric ammonium ferrocyanide (ci 77510) ferric ferrocyanide (ci 77510) manganese violet (ci 77742) yellow 5 lake (ci 19140) ultramarines (ci 77007),1
iron oxides,talc aluminum calcium sodium silicate octyldodecyl stearoyl stearate calcium aluminum borosilicate mica titanium dioxide ci 77891 diisostearyl malate caprylyl glycol ethylhexylglycerin iron oxides ci 77491 tin oxide carmine ci 75470 zinc stearate tocopherol,1
iron oxides,talc calcium aluminum borosilicate mica octyldodecyl stearoyl stearate iron oxides ci 77491 diisostearyl malate titanium dioxide ci 77891 silica zinc stearate synthetic fluorphlogopite caprylyl glycol ethylhexylglycerin carmine ci 75470 iron oxides ci 77499 tin oxide tocopherol,1
iron oxides,talc calcium aluminum borosilicate octyldodecyl stearoyl stearate calcium sodium borosilicate synthetic fluorphlogopite diisostearyl malate silica caprylyl glycol ethylhexylglycerin tin oxide ptfe zinc stearate ci 77891 (titanium dioxide) ci 77491 (iron oxides) ci 77492 (iron oxides) ci 77499 (iron oxides) ci 75470 (carmine),1
iron oxides,talc calcium sodium borosilicate synthetic fluorphlogopite octyldodecyl stearoyl stearateci 77491 (iron oxides)diisostearyl malate aluminaci 77891 (titanium dioxide)caprylyl glycol ethylhexylglycerin mica tin oxide ptfe zinc stearate calcium titanium borosilicate calcium aluminum borosilicate silica aluminum calcium sodium silicateci 77510 (ferric ferrocyanide)ci 77492 (iron oxides)corporate regulatory affairs officeci 77499 (iron oxides),1
iron oxides,talc mica iron oxides ci 77499 octyldodecyl stearoyl stearate diisostearyl malate titanium dioxide ci 77891 zinc stearate iron oxides ci 77491 caprylyl glycol ethylhexylglycerin iron oxides ci 77492 tocopherol,1
iron oxides,talc mica octyldodecyl stearoyl stearate calcium sodium borosilicate ci 77891 (titanium dioxide) diisostearyl malate ci 75470 (carmine ) ci 77400 (copper powder) ci 77491 (iron oxides) alumina ci 19140 (yellow 5 lake) caprylyl glycol ethylhexylglycerin ci 77499 (iron oxides) silica tin oxide ptfe zinc stearate synthetic fluorphlogopite calcium titanium borosilicate calcium aluminum borosilicate aluminum calcium sodium silicate ci 77492 (iron oxides),1
iron oxides,talc mica octyldodecyl stearoyl stearate diisostearyl malate calcium aluminum borosilicate caprylyl glycol ethylhexylglycerin tin oxide ptfe zinc stearate calcium sodium borosilicatesilica calcium titanium borosilicate synthetic fluorphlogopite aluminum calcium sodium silicate alumina titanium dioxide (ci 77891) iron oxides (ci 77491iron oxides (ci 77492) iron oxides (ci 77499) aluminum powder (ci 77000) bronze powder (ci 77400) carmine (ci 75470) copper powder (ci 77400)ferric ferrocyanide (ci 77510),1
iron oxides,talc mica octyldodecyl stearoyl stearate diisostearyl malate caprylyl glycol ethylhexylglycerin ptfe zinc stearate synthetic fluorphlogopite calcium aluminum borosilicate silica calcium sodium borosilicate aluminum calcium sodium silicate alumina tin oxide titanium dioxide (ci 77891) iron oxides (ci 77491) carmine (ci 75470) ferric ferrocyanide (ci 77510),1
iron oxides,talc mica octyldodecyl stearoyl stearate iron oxides ci 77499 titanium dioxide ci 77891 iron oxides ci 77491 diisostearyl malate caprylyl glycol ethylhexylglycerin iron oxides ci 77492 zinc stearate tocopherol,1
iron oxides,talc mica titanium dioxide ci 77891 octyldodecyl stearoyl stearate diisostearyl malate iron oxides ci 77499 chromium oxide greens ci 77288 caprylyl glycol ethylhexylglycerin iron oxides ci 77491 zinc stearate tocopherol,1
iron oxides,talc octyldodecyl stearoyl stearate mica titanium dioxide ci 77891 alumina diisostearyl malate zinc stearate iron oxides ci 77491 bronze powder ci 77400 iron oxides ci 77499 silica tin oxide caprylyl glycol ethylhexylglycerin tocopherol,1
iron oxides,talc octyldodecyl stearoyl stearate micaci 77491 (iron oxides)silica calcium aluminum borosilicate diisostearyl malateci 77400 (copper powder)ci 77499 (iron oxides) ci 77492 (iron oxides)ci 77891 (titanium dioxide)ci 75470 (carmine)caprylyl glycol ethylhexylglycerin tin oxide ptfe zinc stearateci 77400 (bronze powder)calcium titanium borosilicate calcium sodium borosilicate aluminum calcium sodium silicate aluminacorporate regulatory affairs officesynthetic fluorphlogopiteci 77510 (ferric ferrocyanide,1
iron oxides,talc octyldodecyl stearoyl stearate titanium dioxide ci 77891 alumina mica diisostearyl malate aluminum powder ci 77000 synthetic fluorphlogopite zinc stearate yellow 5 lake ci 19140 silica iron oxides ci 77491 caprylyl glycol ethylhexylglycerin tin oxide ferric ammonium ferrocyanide ci 77510 ferric ferrocyanide ci 77510 iron oxides ci 77499 tocopherol,1
iron oxides,talc octyldodecyl stearoyl stearateci 77891 (titanium dioxide)synthetic fluorphlogopite alumina diisostearyl malate silicaci 75470 (carmine)ci 77491 (iron oxides)tin oxide caprylyl glycol ethylhexylglycerin mica ptfe zinc stearateci 77007 (ultramarines)ci 77492 (iron oxides) ci 77499 (iron oxides)ci 42090 (blue 1 lake)ci 77510 (ferric ammonium ferrocyanide)ci 19140 (yellow 5 lake)ci 77400 (bronze powder)ci 77400 (copper powder)ci 77000 (aluminum powder)calcium titanium borosilicate calcium aluminum borosilicate calcium sodium borosilicate aluminum calcium sodium silicate,1
iron oxides,talcci 77491 (iron oxides)synthetic fluorphlogopite octyldodecyl stearoyl stearateci 77400 (copper powder)calcium titanium borosilicate diisostearyl malateci 77492 (iron oxides) ci 77499 (iron oxides)calcium sodium borosilicate calcium aluminum borosilicateci 75470 (carmine)ci 77891 (titanium dioxide)silica caprylyl glycol ethylhexylglycerinci 19140 (yellow 5 lake)tin oxide ptfe zinc stearateci 77400 (bronze powder)aluminum calcium sodium silicate,1
iron oxides,tin oxide (+/-) iron oxides ci 77499,1
iron oxides,titanium dioxide (ci 77891) / iron oxides (ci 77492,1
iron oxides,titanium dioxide (ci 77891) iron oxides (ci 77491,1
iron oxides,tocopherol may contain ci 77491 (iron oxides),1
iron oxides,tocopherol.  +/- ci 77491,3
iron oxides,tocopherol.  +/- ci 77491 (iron oxides),1
iron oxides,tocopherol. may contain (+/-) iron oxides (ci 77491),1
iron oxides,triisodecyl trimellitate trimethylolpropane triisostearate polybutene octyldodecanol titanium dioxide (ci 77891) microcrystalline wax (cera microcristallina) hydrogenated polyisobutene caprylic/capric triglyceride vp/eicosene copolymer polyethylene mica iron oxides (ci 77491) iron oxides (ci 77492) stearalkonium bentonite methyl methacrylate crosspolymer red 7 lake (ci 15850) hydrogenated styrene/butadiene copolymer phytosteryl isostearate propylene carbonate blue 1 lake (ci 42090) pentaerythrityl tetra-di-t- butyl hydroxyhydrocinnamate ethyl vanillin dicalcium phosphate bht rubus idaeus (raspberry) leaf extract rubus idaeus leaf extract yellow 5 lake (ci 19140) tin oxide,1
iron oxides,yellow iron oxide (ci 77492),3
iron oxides,yellow oxide (ci 77492),1
iron oxides,zinc stearate (+/-) iron oxides ci 77492,1
